LAST SEEN   TYPE     REASON              OBJECT                                           MESSAGE
23m         Normal   Pulled              pod/eval-prefill-embedding-6b879fb958-tqq9h      Container image "registry.k8s.io/pause:3.10.1" already present on machine and can be accessed by the pod
23m         Normal   ScalingReplicaSet   deployment/eval-kv-agent                         Scaled up replica set eval-kv-agent-74f59b67b4 from 0 to 1
23m         Normal   Pulled              pod/eval-decode-chat-7c58f7b588-rmmbl            Container image "registry.k8s.io/pause:3.10.1" already present on machine and can be accessed by the pod
23m         Normal   Started             pod/eval-decode-chat-7c58f7b588-rmmbl            Container started
23m         Normal   Created             pod/eval-decode-chat-7c58f7b588-rmmbl            Container created
23m         Normal   Started             pod/eval-kv-agent-74f59b67b4-5ddjz               Container started
18m         Normal   Killing             pod/eval-decode-chat-7c58f7b588-rmmbl            Stopping container pause
18m         Normal   Killing             pod/eval-prefill-embedding-6b879fb958-tqq9h      Stopping container pause
18m         Normal   Killing             pod/eval-kv-agent-74f59b67b4-5ddjz               Stopping container pause
18m         Normal   Started             pod/eval-office-agent-654bd9764-dlwhj            Container started
18m         Normal   Pulled              pod/eval-live-moderation-5ff9cd648-2hqh7         Container image "registry.k8s.io/pause:3.10.1" already present on machine and can be accessed by the pod
18m         Normal   Created             pod/eval-live-moderation-5ff9cd648-2hqh7         Container created
18m         Normal   Started             pod/eval-live-moderation-5ff9cd648-2hqh7         Container started
18m         Normal   ScalingReplicaSet   deployment/eval-office-agent                     Scaled up replica set eval-office-agent-654bd9764 from 0 to 1
18m         Normal   Created             pod/eval-office-agent-654bd9764-dlwhj            Container created
18m         Normal   SuccessfulCreate    replicaset/eval-office-agent-654bd9764           Created pod: eval-office-agent-654bd9764-dlwhj
18m         Normal   ScalingReplicaSet   deployment/eval-live-moderation                  Scaled up replica set eval-live-moderation-5ff9cd648 from 0 to 1
18m         Normal   SuccessfulCreate    replicaset/eval-live-moderation-5ff9cd648        Created pod: eval-live-moderation-5ff9cd648-2hqh7
18m         Normal   Pulled              pod/eval-office-agent-654bd9764-dlwhj            Container image "registry.k8s.io/pause:3.10.1" already present on machine and can be accessed by the pod
10m         Normal   Killing             pod/eval-office-agent-654bd9764-dlwhj            Stopping container pause
10m         Normal   Killing             pod/eval-live-moderation-5ff9cd648-2hqh7         Stopping container pause
9m54s       Normal   Started             pod/eval-office-agent-654bd9764-4cjvz            Container started
9m54s       Normal   ScalingReplicaSet   deployment/eval-office-agent                     Scaled up replica set eval-office-agent-654bd9764 from 0 to 1
9m54s       Normal   SuccessfulCreate    replicaset/eval-office-agent-654bd9764           Created pod: eval-office-agent-654bd9764-4cjvz
9m54s       Normal   ScalingReplicaSet   deployment/eval-live-moderation                  Scaled up replica set eval-live-moderation-5ff9cd648 from 0 to 1
9m54s       Normal   Created             pod/eval-office-agent-654bd9764-4cjvz            Container created
9m54s       Normal   Started             pod/eval-live-moderation-5ff9cd648-5pkjq         Container started
9m54s       Normal   SuccessfulCreate    replicaset/eval-live-moderation-5ff9cd648        Created pod: eval-live-moderation-5ff9cd648-5pkjq
9m54s       Normal   Pulled              pod/eval-office-agent-654bd9764-4cjvz            Container image "registry.k8s.io/pause:3.10.1" already present on machine and can be accessed by the pod
9m54s       Normal   Pulled              pod/eval-live-moderation-5ff9cd648-5pkjq         Container image "registry.k8s.io/pause:3.10.1" already present on machine and can be accessed by the pod
9m54s       Normal   Created             pod/eval-live-moderation-5ff9cd648-5pkjq         Container created
6m22s       Normal   Killing             pod/eval-live-moderation-5ff9cd648-5pkjq         Stopping container pause
6m22s       Normal   Killing             pod/eval-office-agent-654bd9764-4cjvz            Stopping container pause
6m17s       Normal   ScalingReplicaSet   deployment/eval-live-moderation                  Scaled up replica set eval-live-moderation-5ff9cd648 from 0 to 1
6m17s       Normal   SuccessfulCreate    replicaset/eval-live-moderation-5ff9cd648        Created pod: eval-live-moderation-5ff9cd648-7qs8p
6m17s       Normal   SuccessfulCreate    replicaset/eval-office-agent-654bd9764           Created pod: eval-office-agent-654bd9764-bqnth
6m17s       Normal   ScalingReplicaSet   deployment/eval-office-agent                     Scaled up replica set eval-office-agent-654bd9764 from 0 to 1
6m16s       Normal   Started             pod/eval-live-moderation-5ff9cd648-7qs8p         Container started
6m16s       Normal   Pulled              pod/eval-live-moderation-5ff9cd648-7qs8p         Container image "registry.k8s.io/pause:3.10.1" already present on machine and can be accessed by the pod
6m16s       Normal   Created             pod/eval-live-moderation-5ff9cd648-7qs8p         Container created
6m16s       Normal   Pulled              pod/eval-office-agent-654bd9764-bqnth            Container image "registry.k8s.io/pause:3.10.1" already present on machine and can be accessed by the pod
6m16s       Normal   Created             pod/eval-office-agent-654bd9764-bqnth            Container created
6m16s       Normal   Started             pod/eval-office-agent-654bd9764-bqnth            Container started
4m35s       Normal   Killing             pod/eval-live-moderation-5ff9cd648-7qs8p         Stopping container pause
4m35s       Normal   Killing             pod/eval-office-agent-654bd9764-bqnth            Stopping container pause
4m30s       Normal   ScalingReplicaSet   deployment/eval-batch-embedding                  Scaled up replica set eval-batch-embedding-5fc67bd8cd from 0 to 1
4m30s       Normal   SuccessfulCreate    replicaset/eval-batch-embedding-5fc67bd8cd       Created pod: eval-batch-embedding-5fc67bd8cd-httmv
4m30s       Normal   SuccessfulCreate    replicaset/eval-chat-service-65cf4f5c6           Created pod: eval-chat-service-65cf4f5c6-b8mth
4m30s       Normal   ScalingReplicaSet   deployment/eval-chat-service                     Scaled up replica set eval-chat-service-65cf4f5c6 from 0 to 1
4m29s       Normal   Created             pod/eval-chat-service-65cf4f5c6-b8mth            Container created
4m29s       Normal   Started             pod/eval-batch-embedding-5fc67bd8cd-httmv        Container started
4m29s       Normal   Started             pod/eval-chat-service-65cf4f5c6-b8mth            Container started
4m29s       Normal   Pulled              pod/eval-chat-service-65cf4f5c6-b8mth            Container image "registry.k8s.io/pause:3.10.1" already present on machine and can be accessed by the pod
4m29s       Normal   Pulled              pod/eval-batch-embedding-5fc67bd8cd-httmv        Container image "registry.k8s.io/pause:3.10.1" already present on machine and can be accessed by the pod
4m29s       Normal   Created             pod/eval-batch-embedding-5fc67bd8cd-httmv        Container created
3m3s        Normal   Killing             pod/eval-batch-embedding-5fc67bd8cd-httmv        Stopping container pause
3m3s        Normal   Killing             pod/eval-chat-service-65cf4f5c6-b8mth            Stopping container pause
2m58s       Normal   ScalingReplicaSet   deployment/eval-risk-sensitive-chat              Scaled up replica set eval-risk-sensitive-chat-7d45bb7568 from 0 to 1
2m58s       Normal   SuccessfulCreate    replicaset/eval-risk-sensitive-chat-7d45bb7568   Created pod: eval-risk-sensitive-chat-7d45bb7568-js7lr
2m57s       Normal   Pulled              pod/eval-risk-sensitive-chat-7d45bb7568-js7lr    Container image "registry.k8s.io/pause:3.10.1" already present on machine and can be accessed by the pod
2m57s       Normal   Created             pod/eval-risk-sensitive-chat-7d45bb7568-js7lr    Container created
2m57s       Normal   Started             pod/eval-risk-sensitive-chat-7d45bb7568-js7lr    Container started
81s         Normal   Killing             pod/eval-risk-sensitive-chat-7d45bb7568-js7lr    Stopping container pause
76s         Normal   SuccessfulCreate    replicaset/eval-prefill-embedding-6b879fb958     Created pod: eval-prefill-embedding-6b879fb958-wl88g
76s         Normal   SuccessfulCreate    replicaset/eval-decode-chat-7c58f7b588           Created pod: eval-decode-chat-7c58f7b588-tcxlk
76s         Normal   Created             pod/eval-decode-chat-7c58f7b588-tcxlk            Container created
76s         Normal   Pulled              pod/eval-decode-chat-7c58f7b588-tcxlk            Container image "registry.k8s.io/pause:3.10.1" already present on machine and can be accessed by the pod
76s         Normal   SuccessfulCreate    replicaset/eval-kv-agent-74f59b67b4              Created pod: eval-kv-agent-74f59b67b4-j5db8
76s         Normal   ScalingReplicaSet   deployment/eval-prefill-embedding                Scaled up replica set eval-prefill-embedding-6b879fb958 from 0 to 1
76s         Normal   ScalingReplicaSet   deployment/eval-kv-agent                         Scaled up replica set eval-kv-agent-74f59b67b4 from 0 to 1
76s         Normal   Pulled              pod/eval-prefill-embedding-6b879fb958-wl88g      Container image "registry.k8s.io/pause:3.10.1" already present on machine and can be accessed by the pod
76s         Normal   ScalingReplicaSet   deployment/eval-decode-chat                      Scaled up replica set eval-decode-chat-7c58f7b588 from 0 to 1
75s         Normal   Pulled              pod/eval-kv-agent-74f59b67b4-j5db8               Container image "registry.k8s.io/pause:3.10.1" already present on machine and can be accessed by the pod
75s         Normal   Created             pod/eval-kv-agent-74f59b67b4-j5db8               Container created
75s         Normal   Started             pod/eval-decode-chat-7c58f7b588-tcxlk            Container started
75s         Normal   Created             pod/eval-prefill-embedding-6b879fb958-wl88g      Container created
75s         Normal   Started             pod/eval-prefill-embedding-6b879fb958-wl88g      Container started
75s         Normal   Started             pod/eval-kv-agent-74f59b67b4-j5db8               Container started
40s         Normal   Killing             pod/eval-prefill-embedding-6b879fb958-wl88g      Stopping container pause
40s         Normal   Killing             pod/eval-decode-chat-7c58f7b588-tcxlk            Stopping container pause
40s         Normal   Killing             pod/eval-kv-agent-74f59b67b4-j5db8               Stopping container pause
35s         Normal   ScalingReplicaSet   deployment/eval-office-agent                     Scaled up replica set eval-office-agent-654bd9764 from 0 to 1
35s         Normal   SuccessfulCreate    replicaset/eval-office-agent-654bd9764           Created pod: eval-office-agent-654bd9764-4l5hf
35s         Normal   Created             pod/eval-office-agent-654bd9764-4l5hf            Container created
35s         Normal   Started             pod/eval-office-agent-654bd9764-4l5hf            Container started
35s         Normal   Pulled              pod/eval-live-moderation-5ff9cd648-z9fjj         Container image "registry.k8s.io/pause:3.10.1" already present on machine and can be accessed by the pod
35s         Normal   Created             pod/eval-live-moderation-5ff9cd648-z9fjj         Container created
35s         Normal   Pulled              pod/eval-office-agent-654bd9764-4l5hf            Container image "registry.k8s.io/pause:3.10.1" already present on machine and can be accessed by the pod
35s         Normal   Started             pod/eval-live-moderation-5ff9cd648-z9fjj         Container started
35s         Normal   SuccessfulCreate    replicaset/eval-live-moderation-5ff9cd648        Created pod: eval-live-moderation-5ff9cd648-z9fjj
35s         Normal   ScalingReplicaSet   deployment/eval-live-moderation                  Scaled up replica set eval-live-moderation-5ff9cd648 from 0 to 1
